Timestamp,DNI,DHI,GHI,ENTRY_TIME
2023-07-22 15:30:00+05:30,573.15,212.97,638.9,2023-07-22 15:42
2023-07-22 15:45:00+05:30,525.16,219.26,590.6,2023-07-22 16:06
2023-07-22 16:00:00+05:30,443.88,233.59,530.6,2023-07-22 16:12
2023-07-22 16:15:00+05:30,415.36,228.01,489.4,2023-07-22 16:36
2023-07-22 16:30:00+05:30,405.6,210.36,443.0,2023-07-22 16:42
2023-07-22 16:45:00+05:30,331.32,211.32,386.9,2023-07-22 17:06
2023-07-22 17:00:00+05:30,232.41,210.32,323.0,2023-07-22 17:12
2023-07-22 17:15:00+05:30,187.48,195.02,277.2,2023-07-22 17:36
2023-07-22 17:30:00+05:30,131.75,168.95,218.3,2023-07-22 17:42
2023-07-22 17:45:00+05:30,64.57,141.68,162.7,2023-07-22 18:06
2023-07-22 18:00:00+05:30,15.98,99.7,104.1,2023-07-22 18:12
2023-07-22 18:15:00+05:30,5.67,63.63,64.9,2023-07-22 18:36
2023-07-22 18:30:00+05:30,2.14,30.43,30.8,2023-07-22 18:42
2023-07-22 18:45:00+05:30,0.8,11.22,11.3,2023-07-22 19:06
2023-07-22 19:00:00+05:30,0.0,0.4,0.4,2023-07-22 19:12
2023-07-22 19:15:00+05:30,0.0,0.0,0.0,2023-07-22 19:36
2023-07-22 19:30:00+05:30,0.0,0.0,0.0,2023-07-22 19:42
2023-07-22 19:45:00+05:30,0.0,0.0,0.0,2023-07-22 20:06
2023-07-22 20:00:00+05:30,0.0,0.0,0.0,2023-07-22 20:12
2023-07-22 20:15:00+05:30,0.0,0.0,0.0,2023-07-22 20:36
2023-07-22 20:30:00+05:30,0.0,0.0,0.0,2023-07-22 20:42
2023-07-22 20:45:00+05:30,0.0,0.0,0.0,2023-07-22 21:06
2023-07-22 21:00:00+05:30,0.0,0.0,0.0,2023-07-22 21:12
2023-07-22 21:15:00+05:30,0.0,0.0,0.0,2023-07-22 21:36
2023-07-22 21:30:00+05:30,0.0,0.0,0.0,2023-07-22 21:42
2023-07-22 21:45:00+05:30,0.0,0.0,0.0,2023-07-22 22:02
2023-07-22 22:00:00+05:30,0.0,0.0,0.0,2023-07-22 22:12
2023-07-22 22:15:00+05:30,0.0,0.0,0.0,2023-07-22 22:36
2023-07-22 22:30:00+05:30,0.0,0.0,0.0,2023-07-22 22:42
2023-07-22 22:45:00+05:30,0.0,0.0,0.0,2023-07-22 23:06
2023-07-22 23:00:00+05:30,0.0,0.0,0.0,2023-07-22 23:12
2023-07-22 23:15:00+05:30,0.0,0.0,0.0,2023-07-22 23:36
2023-07-22 23:30:00+05:30,0.0,0.0,0.0,2023-07-22 23:42
2023-07-22 23:45:00+05:30,0.0,0.0,0.0,2023-07-23 00:06
2023-07-23 00:00:00+05:30,0.0,0.0,0.0,2023-07-23 00:12
2023-07-23 00:15:00+05:30,0.0,0.0,0.0,2023-07-23 00:36
2023-07-23 00:30:00+05:30,0.0,0.0,0.0,2023-07-23 00:42
2023-07-23 00:45:00+05:30,0.0,0.0,0.0,2023-07-23 01:06
2023-07-23 01:00:00+05:30,0.0,0.0,0.0,2023-07-23 01:12
2023-07-23 01:15:00+05:30,0.0,0.0,0.0,2023-07-23 01:36
2023-07-23 01:30:00+05:30,0.0,0.0,0.0,2023-07-23 01:42
2023-07-23 01:45:00+05:30,0.0,0.0,0.0,2023-07-23 02:06
2023-07-23 02:00:00+05:30,0.0,0.0,0.0,2023-07-23 02:12
2023-07-23 02:15:00+05:30,0.0,0.0,0.0,2023-07-23 02:36
2023-07-23 02:30:00+05:30,0.0,0.0,0.0,2023-07-23 02:42
2023-07-23 02:45:00+05:30,0.0,0.0,0.0,2023-07-23 03:06
2023-07-23 03:00:00+05:30,0.0,0.0,0.0,2023-07-23 03:12
2023-07-23 03:15:00+05:30,0.0,0.0,0.0,2023-07-23 03:36
2023-07-23 03:45:00+05:30,0.0,0.0,0.0,2023-07-23 04:06
2023-07-23 04:00:00+05:30,0.0,0.0,0.0,2023-07-23 04:12
2023-07-23 04:15:00+05:30,0.0,0.0,0.0,2023-07-23 04:36
2023-07-23 04:30:00+05:30,0.0,0.0,0.0,2023-07-23 04:42
2023-07-23 04:45:00+05:30,0.0,0.0,0.0,2023-07-23 05:06
2023-07-23 05:00:00+05:30,0.0,0.0,0.0,2023-07-23 05:12
2023-07-23 05:15:00+05:30,0.0,0.0,0.0,2023-07-23 05:36
2023-07-23 05:30:00+05:30,0.0,0.0,0.0,2023-07-23 05:42
2023-07-23 05:45:00+05:30,0.0,0.0,0.0,2023-07-23 06:06
2023-07-23 06:00:00+05:30,0.01,0.8,0.8,2023-07-23 06:12
2023-07-23 06:15:00+05:30,0.07,3.99,4.0,2023-07-23 06:36
2023-07-23 06:30:00+05:30,0.2,9.27,9.3,2023-07-23 06:42
2023-07-23 06:45:00+05:30,0.34,15.82,15.9,2023-07-23 07:06
2023-07-23 07:00:00+05:30,2.11,50.88,51.5,2023-07-23 07:12
2023-07-23 07:15:00+05:30,11.04,115.63,119.4,2023-07-23 07:36
